threads,chunk_size,run1_s,run2_s,run3_s,mean_s
2,1,0.2470,0.2521,0.2478,0.2490
2,16,0.2459,0.2450,0.2457,0.2455
2,64,0.2563,0.2556,0.2554,0.2558
2,256,0.2958,0.2967,0.2973,0.2966
4,1,0.1257,0.1261,0.1288,0.1268
4,16,0.1290,0.1256,0.1249,0.1265
4,64,0.1338,0.1342,0.1339,0.1340
4,256,0.2971,0.2955,0.2967,0.2964
8,1,0.0763,0.0786,0.0784,0.0777
8,16,0.0757,0.0798,0.0787,0.0781
8,64,0.1267,0.1267,0.1282,0.1272
8,256,0.2975,0.2972,0.2958,0.2968
16,1,0.0457,0.0460,0.0457,0.0458
16,16,0.0507,0.0499,0.0496,0.0500
16,64,0.1257,0.1254,0.1255,0.1255
16,256,0.2964,0.2978,0.2966,0.2970
